,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,rank
9,Galio,13,MIDDLE,6,7,7,9327,143,13903,False,0,False,False,False,False,0,0,2,0,30.62,Challenger
10,Jayce,11,NONE,1,6,0,6531,140,8820,False,0,False,False,False,False,0,0,1,1,29.81,Challenger
11,Jax,14,JUNGLE,6,6,2,9912,188,21307,False,0,False,False,False,False,0,0,1,1,31.02,Challenger
12,Jayce,12,NONE,4,3,1,7271,120,9216,True,0,False,False,False,False,0,0,0,4,28.07,Challenger
13,Camille,13,NONE,5,0,0,9285,170,10817,True,0,False,False,False,False,0,0,0,4,27.39,Challenger
14,Lucian,13,MIDDLE,3,7,1,8790,179,11947,False,0,False,False,False,False,0,0,1,3,18.74,Challenger
15,Ryze,18,TOP,10,6,12,16627,237,31099,True,1,False,False,False,False,0,1,1,2,27.01,Challenger
16,Jayce,15,TOP,10,4,11,13794,172,24315,True,1,True,False,False,False,0,1,0,4,30.0,Challenger
17,Aatrox,16,MIDDLE,6,7,2,12000,196,20185,False,0,False,False,False,False,0,0,2,0,28.81,Challenger
18,Gangplank,11,NONE,2,4,0,6688,119,11313,False,0,False,False,False,False,0,0,0,3,28.77,Challenger
19,Jayce,16,TOP,4,8,7,13332,250,25535,False,0,False,False,True,False,0,0,2,5,25.97,Challenger
20,Gangplank,17,TOP,4,8,7,14725,257,32661,False,0,False,False,False,False,0,0,1,2,31.45,Challenger
21,Gangplank,13,NONE,3,1,5,9383,165,14512,True,0,False,False,False,False,0,0,0,3,22.52,Challenger
22,Jayce,3,NONE,0,0,0,1043,18,755,False,0,False,False,False,False,0,0,0,0,46.26,Challenger
23,Jayce,18,TOP,6,10,6,15391,259,30789,False,1,False,False,False,False,0,0,2,3,31.72,Challenger
24,Rumble,14,TOP,5,7,7,9909,155,17416,False,0,False,False,False,False,0,0,1,2,22.64,Challenger
25,Kaisa,17,BOTTOM,17,2,6,17300,242,33304,True,1,True,False,False,False,1,2,0,3,31.75,Challenger
26,Jax,12,TOP,0,4,0,6607,152,10344,False,0,False,False,False,False,0,0,1,2,25.1,Challenger
27,Trundle,12,NONE,3,2,7,8909,138,9418,True,0,False,False,False,True,0,0,0,5,27.18,Challenger
28,Mordekaiser,16,TOP,6,5,4,12056,197,18979,False,0,False,False,False,False,0,0,1,2,25.86,Challenger
29,Lucian,14,BOTTOM,8,7,16,13250,180,21182,True,1,False,False,False,False,0,1,0,1,23.1,Challenger
30,Darius,12,NONE,2,1,1,7775,170,4565,True,0,False,False,False,False,0,1,0,1,9.54,Challenger
